gene_id,n_studies,gene_symbol
ENSG00000018625.15,9,ATP1A2
ENSG00000117115.13,9,PADI2
ENSG00000118729.12,9,CASQ2
ENSG00000127324.9,9,TSPAN8
ENSG00000158008.10,9,EXTL1
ENSG00000168539.4,9,CHRM1
ENSG00000181856.15,9,SLC2A4
ENSG00000268751.1,9,SCGB1B2P
ENSG00000005513.10,8,SOX8
ENSG00000034971.17,8,MYOC
ENSG00000047457.14,8,CP
ENSG00000069702.11,8,TGFBR3
ENSG00000075239.14,8,ACAT1
ENSG00000076555.15,8,ACACB
ENSG00000078295.17,8,ADCY2
ENSG00000101605.13,8,MYOM1
ENSG00000102683.8,8,SGCG
ENSG00000108018.16,8,SORCS1
ENSG00000109906.15,8,ZBTB16
ENSG00000111058.8,8,ACSS3
ENSG00000111404.7,8,RERGL
ENSG00000115361.8,8,ACADL
ENSG00000116194.13,8,ANGPTL1
ENSG00000116299.17,8,ELAPOR1
ENSG00000119711.13,8,ALDH6A1
ENSG00000119927.14,8,GPAM
ENSG00000120907.18,8,ADRA1A
ENSG00000121671.12,8,CRY2
ENSG00000124116.19,8,WFDC3
ENSG00000124253.11,8,PCK1
ENSG00000128849.11,8,CGNL1
ENSG00000129596.5,8,CDO1
ENSG00000131730.16,8,CKMT2
ENSG00000131771.14,8,PPP1R1B
ENSG00000132975.8,8,GPR12
ENSG00000133083.15,8,DCLK1
ENSG00000133392.18,8,MYH11
ENSG00000135063.20,8,FAM189A2
ENSG00000135447.17,8,PPP1R1A
ENSG00000136546.16,8,SCN7A
ENSG00000137441.8,8,FGFBP2
ENSG00000141469.18,8,SLC14A1
ENSG00000142973.14,8,CYP4B1
ENSG00000149090.12,8,PAMR1
ENSG00000153993.14,8,SEMA3D
ENSG00000154258.17,8,ABCA9
ENSG00000154330.13,8,PGM5
ENSG00000156284.6,8,CLDN8
ENSG00000159763.4,8,PIP
ENSG00000163145.13,8,C1QTNF7
ENSG00000164128.7,8,NPY1R
ENSG00000164776.10,8,PHKG1
ENSG00000165478.7,8,HEPACAM
ENSG00000166819.12,8,PLIN1
ENSG00000168079.17,8,SCARA5
ENSG00000168477.19,8,TNXB
ENSG00000168497.5,8,CAVIN2
ENSG00000168671.10,8,UGT3A2
ENSG00000169083.18,8,AR
ENSG00000169213.7,8,RAB3B
ENSG00000170509.12,8,HSD17B13
ENSG00000172901.20,8,LVRN
ENSG00000172987.13,8,HPSE2
ENSG00000173641.18,8,HSPB7
ENSG00000174514.13,8,MFSD4A
ENSG00000180875.5,8,GREM2
ENSG00000181234.10,8,TMEM132C
ENSG00000182836.10,8,PLCXD3
ENSG00000187151.7,8,ANGPTL5
ENSG00000188959.10,8,C9orf152
ENSG00000196090.12,8,PTPRT
ENSG00000196616.14,8,ADH1B
ENSG00000213927.4,8,CCL27
ENSG00000223392.1,8,CLDN10-AS1
ENSG00000226833.6,8,AC097724.3
ENSG00000255471.1,8,RP11-736K20.5
ENSG00000258818.4,8,RNASE4
ENSG00000265369.3,8,PCAT18
ENSG00000280073.1,8,CTD-2525P14.5
ENSG00000000005.6,7,TNMD
ENSG00000001626.16,7,CFTR
ENSG00000004799.8,7,PDK4
ENSG00000005249.13,7,PRKAR2B
ENSG00000013297.12,7,CLDN11
ENSG00000022267.19,7,FHL1
ENSG00000064651.14,7,SLC12A2
ENSG00000071205.12,7,ARHGAP10
ENSG00000073910.23,7,FRY
ENSG00000077264.16,7,PAK3
ENSG00000077279.20,7,DCX
ENSG00000077684.16,7,JADE1
ENSG00000081913.14,7,PHLPP1
ENSG00000083123.15,7,BCKDHB
ENSG00000091986.16,7,CCDC80
ENSG00000092009.10,7,CMA1
ENSG00000095637.23,7,SORBS1
ENSG00000099338.23,7,CATSPERG
ENSG00000100626.17,7,GALNT16
ENSG00000101230.6,7,ISM1
ENSG00000101333.18,7,PLCB4
ENSG00000101938.15,7,CHRDL1
ENSG00000102547.19,7,CAB39L
ENSG00000104490.18,7,NCALD
ENSG00000106078.19,7,COBL
ENSG00000106809.11,7,OGN
ENSG00000107864.15,7,CPEB3
ENSG00000109819.9,7,PPARGC1A
ENSG00000111846.19,7,GCNT2
ENSG00000112964.14,7,GHR
ENSG00000113396.13,7,SLC27A6
ENSG00000114547.10,7,ROPN1B
ENSG00000114790.13,7,ARHGEF26
ENSG00000115290.10,7,GRB14
ENSG00000115306.16,7,SPTBN1
ENSG00000116039.13,7,ATP6V1B1
ENSG00000117594.10,7,HSD11B1
ENSG00000119771.15,7,KLHL29
ENSG00000120885.22,7,CLU
ENSG00000120915.14,7,EPHX2
ENSG00000123560.14,7,PLP1
ENSG00000124159.16,7,MATN4
