gene_id,n_studies,gene_symbol
ENSG00000087494.16,9,PTHLH
ENSG00000128578.10,9,STRIP2
ENSG00000131015.5,9,ULBP2
ENSG00000134755.18,9,DSC2
ENSG00000146938.16,9,NLGN4X
ENSG00000148680.16,9,HTR7
ENSG00000153802.12,9,TMPRSS11D
ENSG00000163209.15,9,SPRR3
ENSG00000163221.9,9,S100A12
ENSG00000163568.15,9,AIM2
ENSG00000164283.13,9,ESM1
ENSG00000169594.14,9,BNC1
ENSG00000171208.10,9,NETO2
ENSG00000171711.3,9,DEFB4A
ENSG00000176797.4,9,DEFB103A
ENSG00000178172.7,9,SPINK6
ENSG00000183696.14,9,UPP1
ENSG00000189410.12,9,SH2D5
ENSG00000196581.11,9,AJAP1
ENSG00000196611.6,9,MMP1
ENSG00000205420.11,9,KRT6A
ENSG00000214822.8,9,KRT16P3
ENSG00000228742.11,9,LINC02577
ENSG00000238266.2,9,LINC00707
ENSG00000285972.1,9,CERNA2
ENSG00000026751.17,8,SLAMF7
ENSG00000062038.15,8,CDH3
ENSG00000068489.13,8,PRR11
ENSG00000090889.12,8,KIF4A
ENSG00000099953.10,8,MMP11
ENSG00000100453.13,8,GZMB
ENSG00000100985.7,8,MMP9
ENSG00000101057.16,8,MYBL2
ENSG00000101224.18,8,CDC25B
ENSG00000105928.16,8,GSDME
ENSG00000111331.14,8,OAS3
ENSG00000111335.14,8,OAS2
ENSG00000114251.15,8,WNT5A
ENSG00000114948.13,8,ADAM23
ENSG00000117394.24,8,SLC2A1
ENSG00000117407.17,8,ARTN
ENSG00000123500.10,8,COL10A1
ENSG00000128641.19,8,MYO1B
ENSG00000130303.14,8,BST2
ENSG00000134013.16,8,LOXL2
ENSG00000134326.12,8,CMPK2
ENSG00000134757.5,8,DSG3
ENSG00000135114.13,8,OASL
ENSG00000138180.16,8,CEP55
ENSG00000140950.16,8,MEAK7
ENSG00000142224.17,8,IL19
ENSG00000145107.16,8,TM4SF19
ENSG00000149948.14,8,HMGA2
ENSG00000150551.11,8,LYPD1
ENSG00000151023.17,8,ENKUR
ENSG00000151790.9,8,TDO2
ENSG00000153923.10,8,CLCA3P
ENSG00000154451.14,8,GBP5
ENSG00000156234.8,8,CXCL13
ENSG00000163735.7,8,CXCL5
ENSG00000164430.17,8,CGAS
ENSG00000165474.8,8,GJB2
ENSG00000165480.16,8,SKA3
ENSG00000166670.10,8,MMP10
ENSG00000166851.15,8,PLK1
ENSG00000168461.13,8,RAB31
ENSG00000169436.17,8,COL22A1
ENSG00000170465.10,8,KRT6C
ENSG00000171889.5,8,MIR31HG
ENSG00000176749.9,8,CDK5R1
ENSG00000177243.3,8,DEFB103B
ENSG00000178752.16,8,ERFE
ENSG00000179674.4,8,ARL14
ENSG00000182585.10,8,EPGN
ENSG00000183347.15,8,GBP6
ENSG00000185479.6,8,KRT6B
ENSG00000186832.9,8,KRT16
ENSG00000196878.15,8,LAMB3
ENSG00000223784.2,8,LINP1
ENSG00000226145.7,8,KRT16P6
ENSG00000227300.12,8,KRT16P2
ENSG00000227471.9,8,AKR1B15
ENSG00000229647.2,8,MYOSLID
ENSG00000230088.1,8,KRT16P5
ENSG00000244128.7,8,LINC01322
ENSG00000248599.2,8,FLJ42969
ENSG00000251003.9,8,ZFPM2-AS1
ENSG00000256980.5,8,KHDC1L
ENSG00000258711.2,8,RP11-218E20.3
ENSG00000262406.3,8,MMP12
ENSG00000267013.6,8,LINC01929
ENSG00000275216.2,8,RP11-54H7.4
ENSG00000277586.4,8,NEFL
ENSG00000285820.1,8,RP11-305F14.1
ENSG00000004468.13,7,CD38
ENSG00000012124.17,7,CD22
ENSG00000015133.19,7,CCDC88C
ENSG00000021355.13,7,SERPINB1
ENSG00000041982.16,7,TNC
ENSG00000053747.17,7,LAMA3
ENSG00000057149.16,7,SERPINB3
ENSG00000058085.15,7,LAMC2
ENSG00000065675.15,7,PRKCQ
ENSG00000067225.19,7,PKM
ENSG00000070729.14,7,CNGB1
ENSG00000071539.14,7,TRIP13
ENSG00000081985.13,7,IL12RB2
ENSG00000086300.16,7,SNX10
ENSG00000087586.18,7,AURKA
ENSG00000088325.16,7,TPX2
ENSG00000089116.4,7,LHX5
ENSG00000089685.15,7,BIRC5
