Sample	Unalignable	Alignable	Filtered	Total	alignable_percent	Unique	Multi	Uncertain
Sample_1-NS	5968633	54468418	0	60437051	90.1242153592173	42848739	11619679	41821611
Sample_10-NS	4522607	41290983	0	45813590	90.12824142356013	33737923	7553060	30811205
Sample_100-NS	1423038	1011878	0	2434916	41.556998270166204	955040	56838	634516
Sample_101-NS	5908991	6007787	0	11916778	50.414524798565516	5693245	314542	3891830
Sample_102-NS	6636328	6497246	0	13133574	49.470509702842506	6126304	370942	4472804
Sample_103-NS	1445084	1155744	0	2600828	44.437540660128235	1090508	65236	759442
Sample_104-NS	1960222	1372428	0	3332650	41.18128216284339	1288377	84051	871052
Sample_105-NS	1726605	1275658	0	3002263	42.48988179916283	1194449	81209	791934
Sample_106-NS	1773822	1982583	0	3756405	52.77873392246044	1871809	110774	1267659
Sample_107-NS	45339	109551	0	154890	70.72825876428433	102839	6712	75665
Sample_108-NS	3317123	1331383	0	4648506	28.641094579634835	1253727	77656	849244
Sample_109-NS	1173401	1212496	0	2385897	50.81929354033304	1147413	65083	769533
Sample_11-NS	2471607	60819620	0	63291227	96.09486635485831	49512644	11306976	45908326
Sample_110-NS	2344229	1793969	0	4138198	43.351453942029835	1671574	122395	1155588
Sample_111-NS	1443959	1081386	0	2525345	42.82131748335376	1021955	59431	702419
Sample_112-AK	5062654	57632077	0	62694731	91.92491311590443	44572385	13059692	43676981
Sample_113-AK	5120961	68265348	0	73386309	93.02191230247048	54724997	13540351	48776601
Sample_114-AK	8291078	69895456	0	78186534	89.39577242290852	53887220	16008236	53186986
Sample_115-AK	4696869	79791553	0	84488422	94.44081344068658	64073745	15717808	60543388
Sample_116-AK	4842577	94908481	0	99751058	95.14533770659355	82822878	12085603	68610152
Sample_117-AK	9500816	103467522	0	112968338	91.58984174840211	80288440	23179082	78873677
Sample_118-AK	9519611	129343051	0	138862662	93.14458554740942	106133015	23210036	99126030
Sample_119-AK	2783931	46156751	0	48940682	94.31162197535376	37744934	8411817	32236095
Sample_12-NS	2035292	42504922	0	44540214	95.43043955738514	35414582	7090340	30348386
Sample_120-AK	7500745	66626686	0	74127431	89.88128294908803	53095948	13530738	49143738
Sample_121-AK	9507703	90246870	0	99754573	90.4689051197683	72290540	17956330	69172105
Sample_122-AK	17062843	70488937	0	87551780	80.51114094996127	55599090	14889847	53055862
Sample_123-AK	5413396	57510021	0	62923417	91.39684991995905	45906230	11603791	43078813
Sample_124-AK	5028838	53674674	0	58703512	91.4334971986003	44336123	9338551	39196527
Sample_125-AK	2957163	73381961	0	76339124	96.12628119756785	63800273	9581688	50138106
Sample_126-AK	3126299	21422410	0	24548709	87.26491482708929	19717410	1705000	12802326
Sample_127-AK	7156141	13872392	0	21028533	65.96937599023194	12691361	1181031	7738714
Sample_128-AK	5153700	16044772	0	21198472	75.68834206540924	14506811	1537961	8890167
Sample_129-AK	3724733	20663143	0	24387876	84.72711194693625	19124912	1538231	12689261
Sample_13-NS	3001305	46846445	0	49847750	93.9790562262088	38113716	8732729	34255409
Sample_130-AK	1149985	31830152	0	32980137	96.51309817178746	29600683	2229469	22343862
Sample_131-AK	3186977	20809253	0	23996230	86.71884291824175	19070891	1738362	12075417
Sample_132-AK	3651583	22042413	0	25693996	85.7881856913187	20084922	1957491	12539135
Sample_133-AK	1617914	39534515	0	41152429	96.06848480316921	36433811	3100704	28610504
Sample_134-AK	1352761	38924007	0	40276768	96.64133676267173	35926168	2997839	27872142
Sample_135-AK	1726276	43143359	0	44869635	96.15268544083321	40105372	3037987	31140622
Sample_136-AK	886120	27957640	0	28843760	96.92786238687327	25616950	2340690	19209440
Sample_137-AK	642827	26136446	0	26779273	97.59953528238053	24580415	1556031	18111500
Sample_138-AK	943582	39056311	0	39999893	97.6410386897785	36646504	2409807	26818281
Sample_139-AK	986115	34976308	0	35962423	97.25792947822231	32723113	2253195	23760634
Sample_14-NS	9131486	60920565	0	70052051	86.9647128533039	50653628	10266937	44413697
Sample_140-AK	720423	29255886	0	29976309	97.5966921077575	27605914	1649972	19925563
Sample_141-AK	622937	16766895	0	17389832	96.41780898170839	15803763	963132	11193090
Sample_142-AK	767786	22407214	0	23175000	96.68700755124055	21165774	1241440	15726501
Sample_143-AK	732799	23364726	0	24097525	96.95902794996582	22057326	1307400	15630257
Sample_144-AK	1291396	36138657	0	37430053	96.54984191446377	34077032	2061625	25153926
Sample_145-AK	880402	33960031	0	34840433	97.47304518287703	31990136	1969895	22886617
Sample_146-AK	918550	27633503	0	28552053	96.78289333520081	26058601	1574902	18969214
Sample_147-AK	1131561	35193545	0	36325106	96.88490654370011	33269381	1924164	23376267
Sample_148-AK	591049	27260180	0	27851229	97.87783512174634	25530224	1729956	18159128
Sample_149-AK	549637	28515889	0	29065526	98.10897280854302	26100174	2415715	19591680
Sample_15-NS	16835060	42425187	0	59260247	71.59130976959985	33549721	8875466	30877314
Sample_150-AK	7788511	39509730	0	47298241	83.53319101232537	34224329	5285401	27813159
Sample_151-AK	948120	39450657	0	40398777	97.65309727074164	34153893	5296764	27816874
Sample_152-AK	1933125	57063405	0	58996530	96.72332423618812	48733667	8329738	42016180
Sample_153-AK	1388651	52442138	0	53830789	97.4203406158509	44043961	8398177	36903343
Sample_154-AK	1544289	66068067	0	67612356	97.7159662946814	53895918	12172149	48475054
Sample_155-AK	5777478	42109305	0	47886783	87.93513024251389	34627005	7482300	30369591
Sample_156-AK	1832872	49434346	0	51267218	96.42486549591983	41280002	8154344	34657956
Sample_157-AK	1333512	69108765	0	70442277	98.10694364692385	57053844	12054921	48576420
Sample_158-AK_IEC	570477	47047284	0	47617761	98.80196593031746	44408412	2638872	31178947
Sample_159-AK_IEC	308582	23626171	0	23934753	98.71073664307293	22290349	1335822	15801365
Sample_16-NS	15156558	47520290	0	62676848	75.81793200577029	37378768	10141522	33312675
Sample_160-AK_IEC	470979	28141717	0	28612696	98.35395098735191	26515454	1626263	19311168
Sample_161-AK_IEC	619341	35833829	0	36453170	98.3009954964136	33845772	1988057	23797488
Sample_162-AK_IEC	570013	38510319	0	39080332	98.54143255487185	36236548	2273771	26759904
Sample_163-AK_IEC	518487	37173211	0	37691698	98.62439999386602	35023353	2149858	25128679
Sample_164-AK_IEC	431182	19603901	0	20035083	97.84786516731675	18236269	1367632	13796693
Sample_165-AK_IEC	498342	36121946	0	36620288	98.63916417041833	33717171	2404775	24544990
Sample_166-AK_IEC_SCC	759867	26228624	0	26988491	97.18447763530017	23832344	2396280	19057731
Sample_167-AK_IEC_SCC	430608	25576429	0	26007037	98.34426351606298	23788628	1787801	18197649
Sample_168-AK_IEC_SCC	496897	39827881	0	40324778	98.76776259003832	37343859	2484022	27340691
Sample_169-IEC	712942	28565411	0	29278353	97.56495182635445	26846186	1719225	20196541
Sample_17-NS	5710833	32022399	0	37733232	84.86524292432729	25383146	6639253	24614760
Sample_170-IEC	1302519	36927765	0	38230284	96.59296540930745	34895538	2032227	25273569
Sample_171-IEC	1348845	46501241	0	47850086	97.18110224504089	43921817	2579424	30820363
Sample_172-IEC	1090746	37767032	0	38857778	97.1929789706452	35565996	2201036	26248017
Sample_173-IEC	989545	36485896	0	37475441	97.35948404182889	34401419	2084477	24665138
Sample_174-IEC	726473	19237534	0	19964007	96.36108622883171	17909373	1328161	13542091
Sample_175-IEC	700032	25896821	0	26596853	97.36798936325286	24303333	1593488	17764024
Sample_176-IEC	318642	22674829	0	22993471	98.61420661543444	21409015	1265814	15906412
Sample_177-IEC	415999	22776524	0	23192523	98.20632278773638	21452512	1324012	15339124
Sample_178-IEC	346280	17071497	0	17417777	98.0119162164035	16078958	992539	11390834
Sample_179-IEC	378228	29092064	0	29470292	98.71657871594893	27321210	1770854	20559091
Sample_18-NS	4145769	71861040	0	76006809	94.54552946697183	55986989	15874051	52200854
Sample_180-IEC	830371	37606813	0	38437184	97.83966744285951	35508942	2097871	25729252
Sample_181-IEC	439431	34831169	0	35270600	98.7541153255119	32782687	2048482	23470831
Sample_182-IEC	391658	34449214	0	34840872	98.87586625271607	32398011	2051203	24030387
Sample_183-IEC	303014	26678937	0	26981951	98.87697520464698	25071458	1607479	18479912
Sample_184-IEC	344297	29814689	0	30158986	98.8583933160087	28115452	1699237	20296680
Sample_185-KA	1999888	43976686	0	45976574	95.65020220949913	35619011	8357675	33458032
Sample_186-KA	7641623	66217688	0	73859311	89.65381223228579	54214849	12002839	46497351
Sample_187-KA	4639690	36003650	0	40643340	88.58437815396077	28779794	7223856	25874925
Sample_188-KA	6617893	10679789	0	17297682	61.741156994330225	9577021	1102768	7922740
Sample_189-KA	6018972	13186213	0	19205185	68.65965102653267	11947735	1238478	9871806
Sample_19-NS	3195622	49861459	0	53057081	93.97701128714563	40355176	9506283	36540241
Sample_190-KA	8049433	9482141	0	17531574	54.08607920771974	8463108	1019033	7177530
Sample_191-KA	4452969	14212006	0	18664975	76.14264685594276	13150419	1061587	10223746
Sample_192-KA	4848764	16382851	0	21231615	77.1625286159343	14922963	1459888	11777013
Sample_193-KA	7286809	12663979	0	19950788	63.47608425291271	11382535	1281444	9022259
Sample_194-KA	2901424	12197702	0	15099126	80.78415929504794	11044773	1152929	9550019
Sample_195-KA	6129235	17430677	0	23559912	73.98447413555704	15678071	1752606	13174553
Sample_196-KA	5557483	21524248	0	27081731	79.47884867477637	19761157	1763091	14849291
Sample_197-KA	7078608	8654830	0	15733438	55.00914676118468	7782704	872126	6196491
Sample_198-SCC	11545039	75423290	0	86968329	86.72500767492038	59390518	16032772	57708975
Sample_199-SCC	2892916	68450287	0	71343203	95.94507131954812	55091695	13358592	53472974
Sample_2-NS	2855079	41891026	0	44746105	93.61937983205466	33256171	8634855	30727737
Sample_20-NS	3425991	56291896	0	59717887	94.26304048567559	47047910	9243986	40200509
Sample_200-SCC	3538194	63273642	0	66811836	94.70424072764591	51866525	11407117	48354909
Sample_201-SCC	2837984	49280177	0	52118161	94.55471193620973	39681631	9598546	35368676
Sample_202-SCC	13257696	53266852	0	66524548	80.07097169604219	41147945	12118907	40368081
Sample_203-SCC	3240013	56316840	0	59556853	94.55979818141164	44925821	11391019	44248485
Sample_204-SCC	11385894	66007634	0	77393528	85.28831248008231	51724327	14283307	47083096
Sample_205-SCC	2600466	53434488	0	56034954	95.3592073975826	43210771	10223717	39959526
