Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
STARpass1	4142479.0	202.0	2579207.0	62.26	195.14	1349908.0	1233861.0	1326829.0	9341.0	928.0	12810.0	1.6	0.06	1.96	0.05	2.06	150665.0	3.64	4992.0	0.12	0.34	33.49	0.16	14080	1386909	6626
Sample_1-NS	80469257.0	147.0	62433746.0	77.59	149.78	24075404.0	24039023.0	23873865.0	168217.0	15720.0	17602.0	0.27	0.0	1.39	0.0	1.54	12066878.0	15.0	114356.0	0.14	0.04	3.04	4.2	32166	2444643	3377468
Sample_10-NS	70264316.0	149.0	49865706.0	70.97	149.67	17968218.0	17942273.0	17809055.0	134966.0	11131.0	13066.0	0.23	0.0	1.32	0.0	1.58	15876003.0	22.59	58941.0	0.08	0.11	3.77	2.48	77202	2645915	1740549
Sample_100-NS	3613412.0	202.0	2082494.0	57.63	195.6	919997.0	910179.0	904222.0	8338.0	684.0	6753.0	1.5	0.05	1.96	0.04	1.94	107880.0	2.99	3857.0	0.11	0.13	39.0	0.15	4697	1409065	5419
Sample_101-NS	17193706.0	202.0	10549809.0	61.36	191.75	5722257.0	5708032.0	5675947.0	31812.0	2883.0	11615.0	3.18	0.01	1.9	0.01	1.76	734906.0	4.27	4811.0	0.03	0.23	33.82	0.29	39545	5814775	49861
Sample_102-NS	18803998.0	202.0	11573616.0	61.55	191.91	5628895.0	5615976.0	5575935.0	37397.0	2990.0	12573.0	3.16	0.01	1.78	0.01	1.87	594054.0	3.16	4387.0	0.02	0.24	34.97	0.06	45128	6575531	11282
Sample_103-NS	3899769.0	202.0	2313388.0	59.32	195.2	1086636.0	1076350.0	1066468.0	9361.0	677.0	10130.0	1.63	0.05	1.93	0.05	2.01	141297.0	3.62	6101.0	0.16	0.18	36.56	0.16	7019	1425724	6239
Sample_104-NS	4850771.0	202.0	2704791.0	55.76	195.1	1220019.0	1205923.0	1194222.0	10596.0	751.0	14450.0	1.57	0.06	1.89	0.05	1.98	185758.0	3.83	6697.0	0.14	0.2	39.89	0.18	9702	1935091	8732
Sample_105-NS	4489414.0	202.0	2590165.0	57.69	194.62	1183415.0	1170884.0	1157137.0	13699.0	710.0	11869.0	1.65	0.05	1.92	0.05	1.98	172644.0	3.85	5033.0	0.11	0.32	37.75	0.28	14365	1694637	12569
Sample_106-NS	5708634.0	202.0	3754495.0	65.77	194.63	1639410.0	1629749.0	1619814.0	12618.0	1020.0	5958.0	2.36	0.03	1.84	0.03	1.87	180317.0	3.16	3555.0	0.06	0.21	30.71	0.09	11988	1753141	5138
Sample_107-NS	218508.0	202.0	164872.0	75.45	195.01	90860.0	90335.0	89666.0	714.0	89.0	391.0	0.81	0.02	1.69	0.02	1.92	8297.0	3.8	198.0	0.09	0.23	20.37	0.06	503	44507	131
Sample_108-NS	6667293.0	202.0	3155462.0	47.33	189.93	1469388.0	1457156.0	1439210.0	17621.0	1039.0	11518.0	1.78	0.04	1.92	0.04	1.97	194708.0	2.92	3983.0	0.06	0.12	49.44	0.13	8001	3296471	8668
Sample_109-NS	3856490.0	202.0	2548134.0	66.07	195.64	1114262.0	1102115.0	1094771.0	10406.0	653.0	8432.0	1.51	0.06	1.95	0.05	2.05	134955.0	3.5	6728.0	0.17	0.15	29.89	0.22	5783	1152408	8482
Sample_11-NS	87508659.0	150.0	69919073.0	79.9	149.96	28026839.0	27988766.0	27792867.0	196952.0	17380.0	19640.0	0.31	0.0	1.32	0.0	1.57	15117979.0	17.28	62160.0	0.07	0.03	2.31	0.41	26285	2023935	359227
Sample_110-NS	6177405.0	202.0	3587045.0	58.07	194.98	1561787.0	1545916.0	1532172.0	15095.0	1017.0	13503.0	1.57	0.05	1.88	0.06	2.17	246131.0	3.98	8569.0	0.14	0.21	37.37	0.22	12976	2309090	13594
Sample_111-NS	3823977.0	202.0	2265234.0	59.24	195.69	1007112.0	995182.0	988412.0	10435.0	616.0	7649.0	1.49	0.05	1.89	0.05	1.95	114784.0	3.0	5885.0	0.15	0.18	37.23	0.2	6883	1423544	7647
Sample_112-AK	92579327.0	150.0	69621730.0	75.2	149.95	25009089.0	24966532.0	24774336.0	195704.0	15810.0	23239.0	0.34	0.0	1.41	0.0	1.66	17894943.0	19.33	82154.0	0.09	0.03	3.86	1.48	27824	3580024	1372652
Sample_113-AK	98812318.0	150.0	72656926.0	73.53	149.98	29624641.0	29568866.0	29319493.0	263955.0	16092.0	25101.0	0.29	0.0	1.39	0.0	1.6	21034431.0	21.29	112992.0	0.11	0.06	3.26	1.75	59266	3220114	1728589
Sample_114-AK	108268083.0	149.0	78134672.0	72.17	149.77	31048222.0	30997885.0	30703450.0	298296.0	20747.0	25729.0	0.32	0.0	1.38	0.0	1.6	21842333.0	20.17	94390.0	0.09	0.11	4.59	2.87	119106	4969987	3107595
Sample_115-AK	106593680.0	150.0	83312045.0	78.16	149.86	38461412.0	38404602.0	38165763.0	250826.0	24961.0	19862.0	0.28	0.0	1.34	0.0	1.5	18584766.0	17.44	79691.0	0.07	0.03	3.45	0.85	31990	3678814	906374
Sample_116-AK	148613588.0	149.0	121060631.0	81.46	149.53	42620069.0	42555098.0	42244388.0	323600.0	27133.0	24948.0	0.27	0.0	1.29	0.0	1.5	22710380.0	15.28	122503.0	0.08	0.04	2.59	0.55	59372	3844337	816365
Sample_117-AK	144346524.0	150.0	109943314.0	76.17	149.78	48147691.0	48075944.0	47755053.0	323871.0	34109.0	34658.0	0.31	0.0	1.4	0.0	1.53	24902394.0	17.25	182868.0	0.13	0.03	5.18	1.24	43339	7483251	1791357
Sample_118-AK	177456557.0	149.0	142184038.0	80.12	149.54	59395583.0	59307843.0	58899111.0	418133.0	43034.0	35305.0	0.27	0.0	1.28	0.0	1.51	25752908.0	14.51	252919.0	0.14	0.05	3.97	1.2	88761	7047657	2130274
