study_accession,accession,condition,run,fq1,fq2
GSE111354,GSM3029032,NS,SRR6798690,/scratch/users/tbencomo/nmsc-data/fastq/SRR6798690_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR6798690_2.fastq
GSE111354,GSM3029033,NS,SRR6798691,/scratch/users/tbencomo/nmsc-data/fastq/SRR6798691_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR6798691_2.fastq
GSE111354,GSM3029034,NS,SRR6798692,/scratch/users/tbencomo/nmsc-data/fastq/SRR6798692_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR6798692_2.fastq
GSE111354,GSM3029035,SCC,SRR6798693,/scratch/users/tbencomo/nmsc-data/fastq/SRR6798693_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR6798693_2.fastq
GSE111354,GSM3029036,SCC,SRR6798694,/scratch/users/tbencomo/nmsc-data/fastq/SRR6798694_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR6798694_2.fastq
GSE111354,GSM3029037,SCC,SRR6798695,/scratch/users/tbencomo/nmsc-data/fastq/SRR6798695_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR6798695_2.fastq
GSE111354,GSM3029038,SCC,SRR6798696,/scratch/users/tbencomo/nmsc-data/fastq/SRR6798696_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR6798696_2.fastq
GSE111354,GSM3029039,SCC,SRR6798697,/scratch/users/tbencomo/nmsc-data/fastq/SRR6798697_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR6798697_2.fastq
GSE111354,GSM3029040,SCC,SRR6798698,/scratch/users/tbencomo/nmsc-data/fastq/SRR6798698_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR6798698_2.fastq
GSE111354,GSM3029041,SCC,SRR6798699,/scratch/users/tbencomo/nmsc-data/fastq/SRR6798699_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR6798699_2.fastq
GSE111354,GSM3029042,SCC,SRR6798700,/scratch/users/tbencomo/nmsc-data/fastq/SRR6798700_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR6798700_2.fastq
GSE111354,GSM3029043,SCC,SRR6798701,/scratch/users/tbencomo/nmsc-data/fastq/SRR6798701_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR6798701_2.fastq
GSE111354,GSM3029044,SCC,SRR6798702,/scratch/users/tbencomo/nmsc-data/fastq/SRR6798702_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR6798702_2.fastq
GSE111354,GSM3029045,SCC,SRR6798703,/scratch/users/tbencomo/nmsc-data/fastq/SRR6798703_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR6798703_2.fastq
GSE111354,GSM3029046,SCC,SRR6798704,/scratch/users/tbencomo/nmsc-data/fastq/SRR6798704_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR6798704_2.fastq
GSE111354,GSM3029047,SCC,SRR6798705,/scratch/users/tbencomo/nmsc-data/fastq/SRR6798705_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR6798705_2.fastq
GSE111354,GSM3029048,SCC,SRR6798706,/scratch/users/tbencomo/nmsc-data/fastq/SRR6798706_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR6798706_2.fastq
GSE111354,GSM3029049,SCC,SRR6798707,/scratch/users/tbencomo/nmsc-data/fastq/SRR6798707_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR6798707_2.fastq
GSE111354,GSM3029050,SCC,SRR6798708,/scratch/users/tbencomo/nmsc-data/fastq/SRR6798708_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR6798708_2.fastq
GSE111354,GSM3029051,SCC,SRR6798709,/scratch/users/tbencomo/nmsc-data/fastq/SRR6798709_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR6798709_2.fastq
GSE111354,GSM3029052,SCC,SRR6798710,/scratch/users/tbencomo/nmsc-data/fastq/SRR6798710_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR6798710_2.fastq
GSE111354,GSM3029053,SCC,SRR6798711,/scratch/users/tbencomo/nmsc-data/fastq/SRR6798711_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR6798711_2.fastq
GSE111354,GSM3029054,SCC,SRR6798712,/scratch/users/tbencomo/nmsc-data/fastq/SRR6798712_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR6798712_2.fastq
GSE111582,GSM3034569,SCC,SRR6819030,/scratch/users/tbencomo/nmsc-data/fastq/SRR6819030_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR6819030_2.fastq
GSE111582,GSM3034570,SCC,SRR6819031,/scratch/users/tbencomo/nmsc-data/fastq/SRR6819031_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR6819031_2.fastq
GSE111582,GSM3034571,SCC,SRR6819032,/scratch/users/tbencomo/nmsc-data/fastq/SRR6819032_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR6819032_2.fastq
GSE111582,GSM3034573,SCC,SRR6819034,/scratch/users/tbencomo/nmsc-data/fastq/SRR6819034_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR6819034_2.fastq
GSE111582,GSM3034574,SCC,SRR6819035,/scratch/users/tbencomo/nmsc-data/fastq/SRR6819035_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR6819035_2.fastq
GSE111582,GSM3034575,SCC,SRR6819036,/scratch/users/tbencomo/nmsc-data/fastq/SRR6819036_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR6819036_2.fastq
GSE111582,GSM3034576,SCC,SRR6819037,/scratch/users/tbencomo/nmsc-data/fastq/SRR6819037_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR6819037_2.fastq
GSE111582,GSM3034577,NS,SRR6819038,/scratch/users/tbencomo/nmsc-data/fastq/SRR6819038_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR6819038_2.fastq
GSE111582,GSM3034578,NS,SRR6819039,/scratch/users/tbencomo/nmsc-data/fastq/SRR6819039_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR6819039_2.fastq
GSE111582,GSM3034579,NS,SRR6819040,/scratch/users/tbencomo/nmsc-data/fastq/SRR6819040_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR6819040_2.fastq
GSE111582,GSM3034580,NS,SRR6819041,/scratch/users/tbencomo/nmsc-data/fastq/SRR6819041_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR6819041_2.fastq
GSE111582,GSM3034581,NS,SRR6819042,/scratch/users/tbencomo/nmsc-data/fastq/SRR6819042_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR6819042_2.fastq
GSE111582,GSM3034582,NS,SRR6819043,/scratch/users/tbencomo/nmsc-data/fastq/SRR6819043_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR6819043_2.fastq
GSE111582,GSM3034583,NS,SRR6819044,/scratch/users/tbencomo/nmsc-data/fastq/SRR6819044_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR6819044_2.fastq
GSE111582,GSM3034584,NS,SRR6819045,/scratch/users/tbencomo/nmsc-data/fastq/SRR6819045_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR6819045_2.fastq
GSE111582,GSM3034585,NS,SRR6819046,/scratch/users/tbencomo/nmsc-data/fastq/SRR6819046_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR6819046_2.fastq
GSE111582,GSM3034586,NS,SRR6819047,/scratch/users/tbencomo/nmsc-data/fastq/SRR6819047_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR6819047_2.fastq
GSE111582,GSM3034587,SCC,SRR6819048,/scratch/users/tbencomo/nmsc-data/fastq/SRR6819048_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR6819048_2.fastq
GSE125285,GSM3567640,NS,SRR8452456,/scratch/users/tbencomo/nmsc-data/fastq/SRR8452456_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR8452456_2.fastq
GSE125285,GSM3567641,BCC,SRR8452457,/scratch/users/tbencomo/nmsc-data/fastq/SRR8452457_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR8452457_2.fastq
GSE125285,GSM3567642,NS,SRR8452458,/scratch/users/tbencomo/nmsc-data/fastq/SRR8452458_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR8452458_2.fastq
GSE125285,GSM3567643,BCC,SRR8452459,/scratch/users/tbencomo/nmsc-data/fastq/SRR8452459_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR8452459_2.fastq
GSE125285,GSM3567644,NS,SRR8452460,/scratch/users/tbencomo/nmsc-data/fastq/SRR8452460_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR8452460_2.fastq
GSE125285,GSM3567645,BCC,SRR8452461,/scratch/users/tbencomo/nmsc-data/fastq/SRR8452461_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR8452461_2.fastq
GSE125285,GSM3567646,NS,SRR8452462,/scratch/users/tbencomo/nmsc-data/fastq/SRR8452462_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR8452462_2.fastq
GSE125285,GSM3567647,BCC,SRR8452463,/scratch/users/tbencomo/nmsc-data/fastq/SRR8452463_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR8452463_2.fastq
GSE125285,GSM3567648,NS,SRR8452464,/scratch/users/tbencomo/nmsc-data/fastq/SRR8452464_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR8452464_2.fastq
